source,theme,titre,date,date_parsed,auteur,contenu,url
SeneNews,Actualité,Dernière minute – Validation des médias par l’État du Sénégal : La justice donne raison à Aissatou Diop Fall,12/06/2025 à 16:31,2025-06-12 16:31,Khadija Sène,"L’affaire a également révélé la fragilité économique du secteur médiatique sénégalais, avec de nombreuses entreprises en « situation de quasi-faillite ». Les arrêtés de cessation ont eu des « conséquences dramatiques » pour les entreprises de presse.Vers un dialogue renouveléMalgré cette victoire, les tensions persistent. Le CDEPS appelle à un « dialogue rénové » avec la presse sénégalaise, soulignant l’importance d’une presse libre et indépendante pour la démocratie et le développement du Sénégal.

Vers un dialogue renouveléMalgré cette victoire, les tensions persistent. Le CDEPS appelle à un « dialogue rénové » avec la presse sénégalaise, soulignant l’importance d’une presse libre et indépendante pour la démocratie et le développement du Sénégal.

Malgré cette victoire, les tensions persistent. Le CDEPS appelle à un « dialogue rénové » avec la presse sénégalaise, soulignant l’importance d’une presse libre et indépendante pour la démocratie et le développement du Sénégal.",https://www.senenews.com/actualites/derniere-minute-validation-des-medias-par-letat-du-senegal-la-justice-donne-raison-a-aissatou-diop-fall_545523.html
SeneNews,Actualité,"DIRECT : Le calvaire de Farba Ngom à Rebeuss, Moustapha Diakhaté incarcéré, Macky Sall vise l’ONU",12/06/2025 à 16:29,2025-06-12 16:29,Barry Souleymane,"﻿DIRECT : Le calvaire de Farba Ngom à Rebeuss, Moustapha Diakhaté incarcéré, Macky Sall vise l’ONU",https://www.senenews.com/actualites/direct-le-calvaire-de-farba-ngom-a-rebeuss-moustapha-diakhate-incarcere-macky-sall-vise-lonu_545525.html
SeneNews,Sport,Officiel : Youssouf Sabaly signe à Al-Duhail au Qatar !,12/06/2025 à 16:28,2025-06-12 16:28,Kabir Sall,"C’est désormais officiel : Youssouf Sabaly, le défenseur sénégalais, rejoint le club qatari d’Al-Duhail pour une nouvelle aventure dans sa carrière.

Les supporters qataris attendent avec impatience les débuts de Sabaly, qui promet d’apporter sa hargne et son talent sur les terrains du Golfe. Le défenseur sénégalais portera le numéro 17.✍️ الدحيل يتعاقد مع المدافع السنغالي يوسف سابالي#الدحيل|#قطر— Al Duhail SC | نادي الدحيل (@DuhailSC)June 12, 2025

✍️ الدحيل يتعاقد مع المدافع السنغالي يوسف سابالي#الدحيل|#قطر— Al Duhail SC | نادي الدحيل (@DuhailSC)June 12, 2025

— Al Duhail SC | نادي الدحيل (@DuhailSC)June 12, 2025",https://www.senenews.com/actualites/sport/officiel-youssouf-sabaly-signe-a-al-duhail-au-qatar_545522.html
SeneNews,Sport,Sport et Education : Abdou Diallo va offrir une formation au Qatar à 22 jeunes Sénégalais,12/06/2025 à 16:12,2025-06-12 16:12,Kabir Sall,"Abdou Diallo, le défenseur international sénégalais, s’engage à nouveau pour aider la jeune sénégalaise à se former dans les métiers du sport et de la communication. Grâce à l’initiative Generation Amazing, 22 jeunes Sénégalais vont recevoir une formation au Qatar lors de la Coupe du monde des moins de 17 ans.

Abdou Diallo, figure emblématique, inspire ces jeunes à rêver grand. Le défenseur sénégalais, qui va rejoindre le programme social Generation Amazing aux côtés de grands noms du football comme Pep Guardiola, Xavi ou Beckham, va booster et accompagner plusieurs jeunes à se former dans les métiers du sport et de la communication.Generation Amazing est un programme social lancé lors de la Coupe du monde au Qatar, qui utilise le sport pour éduquer, inspirer et créer des opportunités pour la jeunesse dans le monde entier. Un projet ambitieux, qui va utiliser la puissance du sport au service de l’éducation.Pour rappel, la prochaine Coupe du monde des moins de 17 ans se déroulera au Qatar du 3 au 27 novembre 2025. Le Sénégal prendra part à cette compétition. Les Lions sont logés dans le groupe C avec la Croatie, le Costa Rica et les Émirats arabes unis.

Generation Amazing est un programme social lancé lors de la Coupe du monde au Qatar, qui utilise le sport pour éduquer, inspirer et créer des opportunités pour la jeunesse dans le monde entier. Un projet ambitieux, qui va utiliser la puissance du sport au service de l’éducation.Pour rappel, la prochaine Coupe du monde des moins de 17 ans se déroulera au Qatar du 3 au 27 novembre 2025. Le Sénégal prendra part à cette compétition. Les Lions sont logés dans le groupe C avec la Croatie, le Costa Rica et les Émirats arabes unis.

Pour rappel, la prochaine Coupe du monde des moins de 17 ans se déroulera au Qatar du 3 au 27 novembre 2025. Le Sénégal prendra part à cette compétition. Les Lions sont logés dans le groupe C avec la Croatie, le Costa Rica et les Émirats arabes unis.",https://www.senenews.com/actualites/sport/sport-et-education-abdou-diallo-va-offrir-une-formation-au-qatar-a-22-jeunes-senegalais_545518.html
SeneNews,International,Gold card aux Etats-Unis : Voici le site de Trump pour le visa permanent à 5 millions de dollars,12/06/2025 à 15:50,2025-06-12 15:50,Thierno Gueye,"L’ex-président américain Donald Trump a dévoilé mercredi le lancement du site TrumpCard.gov, dédié à un nouveau visa permanent baptisé « Gold Card », une carte dorée censée offrir la résidence permanente aux États-Unis pour la somme de 5 millions de dollars. Ce programme, inspiré du modèle de la « green card », ambitionne de séduire les grandes fortunes mondiales.

Sur les réseaux sociaux,Donald Trumps’est félicité de l’intérêt que suscite déjà cette initiative : « Des milliers de personnes ont appelé pour demander comment s’inscrire », a-t-il déclaré, précisant qu’une liste d’attente est déjà ouverte, même si les cartes ne sont pas encore disponibles. Déjà en avril, à bord de l’avion présidentiel Air Force One, Trump avait présenté un prototype de la fameuse carte dorée, arborant son propre visage. Il promettait alors une mise en circulation sous deux semaines, promesse non encore tenue à ce jour.Ce projet rappelle le programme EB-5, qui accorde une carte verte à des investisseurs étrangers en échange d’un investissement substantiel. Mais selon l’équipe Trump, ce système serait trop vulnérable aux fraudes. La « Gold Card », en revanche, se veut plus exclusive et sécurisée. « Ces gens seront riches, créeront des emplois, paieront des impôts et injecteront des milliards dans l’économie américaine », avait plaidé Trump en février. Il estime que les ventes pourraient atteindre un million de cartes, générant potentiellement 5 000 milliards de dollars.

Ce projet rappelle le programme EB-5, qui accorde une carte verte à des investisseurs étrangers en échange d’un investissement substantiel. Mais selon l’équipe Trump, ce système serait trop vulnérable aux fraudes. La « Gold Card », en revanche, se veut plus exclusive et sécurisée. « Ces gens seront riches, créeront des emplois, paieront des impôts et injecteront des milliards dans l’économie américaine », avait plaidé Trump en février. Il estime que les ventes pourraient atteindre un million de cartes, générant potentiellement 5 000 milliards de dollars.",https://www.senenews.com/actualites/international/gold-card-aux-etats-unis-voici-le-site-de-trump-pour-le-visa-permanent-a-5-millions-de-dollars_545488.html
SeneNews,Multimedia,"Voici Vishwash Kumar Ramesh, le seul survivant du crash mortel du vol Air-Indian (vidéo)",12/06/2025 à 15:35,2025-06-12 15:35,Kabir Sall,"En Inde, le ressortissant britannique Vishwash Kumar Ramesh, le seul survivant du crash mortel du vol Air-Indian, de ce jeudi 12 juin, qui était à destination de Londres avec 242 personnes à bord.

— LSI AFRICA (@lsiafrica)June 12, 2025",https://www.senenews.com/actualites/societe/voici-vishwash-kumar-ramesh-le-seul-survivant-du-crash-mortel-du-vol-air-indian-video_545513.html
SeneNews,Afrique - actualité,"Abdoulaye Diop, ministre malien : « Les pays de l’AES feront les élections à leur rythme »",12/06/2025 à 15:27,2025-06-12 15:27,Thierno Gueye,,https://www.senenews.com/actualites/afrique/abdoulaye-diop-ministre-malien-les-pays-de-laes-feront-les-elections-a-leur-rythme_545485.html
SeneNews,People,Ticket Laobé : « Proposé nagn mafi chirurgie manilen khana daguen nameu deukhine » (vidéo),12/06/2025 à 15:10,2025-06-12 15:10,Khadija Sène,"L’actrice Ticket Laobé a fermement exprimé son opposition à la chirurgie esthétique. Interrogée sur le sujet, elle a révélé avoir déjà reçu des propositions, mais sa réponse a toujours été catégorique.

« Je ne recourrai jamais à la chirurgie esthétique, car il existe d’autres méthodes pour perdre du poids », a-t-elle déclaré.Ticket Laobéprivilégie ainsi les solutions naturelles : « Les thés minceur et le sport sont là pour ça. Quand on m’a proposé la chirurgie, j’ai immédiatement refusé. »",https://www.senenews.com/senenews-people/ticket-laobe-propose-nagn-mafi-chirurgie-manilen-khana-daguen-nameu-deukhine-video_545510.html
SeneNews,Politique,Tournée à Saint-Louis : Les pros Mansour Faye se signalent face à Bassirou Diomaye Faye,12/06/2025 à 15:02,2025-06-12 15:02,Modou Mamoune Tine,"Le président de la République, Bassirou Diomaye Faye, est attendu ce mercredi après-midi à Saint-Louis dans le cadre de sa tournée nationale. Mais à l’annonce de sa visite, une vive tension s’est installée dans la ville tricentenaire.

Des partisans du maire emprisonné Mansour Faye, affilié à l’APR, annoncent déjà un accueil hostile. Selon RFM, ils entendent manifester leur colère face à ce qu’ils considèrent comme une injustice politique. « Ce n’est pas une tournée économique, c’est une tournée politique, une suite du ‘Nemmekou Tour’. Comment peut-il emprisonner notre maire et venir à Saint-Louis ? », a fustigé Aminata Gueye, adjointe au maire et ancienne députée. Pour elle, la présence du chef de l’État dans la ville n’est rien d’autre qu’une provocation.Les partisans du maire annoncent une manifestation symbolique avec des brassards rouges et prévoient de faire entendre leur mécontentement sur le terrain. Aminata Gueye dénonce un agenda politique masqué derrière cette tournée : « Il n’y a ni pose de première pierre, ni projet concret. Il vient juste provoquer les militants et sympathisants de l’APR ». L’adjointe au maire soutient que l’emprisonnement deMansour Faye, poursuivi dans le cadre de la gestion des fonds Force Covid-19, serait une manœuvre pour affaiblir l’opposition en vue des élections locales. « Ils pensent que ça va être facile, mais ils vont nous trouver sur le terrain », avertit-elle avec fermeté.

Les partisans du maire annoncent une manifestation symbolique avec des brassards rouges et prévoient de faire entendre leur mécontentement sur le terrain. Aminata Gueye dénonce un agenda politique masqué derrière cette tournée : « Il n’y a ni pose de première pierre, ni projet concret. Il vient juste provoquer les militants et sympathisants de l’APR ». L’adjointe au maire soutient que l’emprisonnement deMansour Faye, poursuivi dans le cadre de la gestion des fonds Force Covid-19, serait une manœuvre pour affaiblir l’opposition en vue des élections locales. « Ils pensent que ça va être facile, mais ils vont nous trouver sur le terrain », avertit-elle avec fermeté.",https://www.senenews.com/actualites/tournee-a-saint-louis-les-pros-mansour-faye-se-signalent-face-a-bassirou-diomaye-faye_545498.html
SeneNews,Actualité,Ziguinchor : Un adolescent de 13 ans poignardé à mort à Santhiaba,12/06/2025 à 14:52,2025-06-12 14:52,Khadija Sène,"Un drame a secoué le quartier populaire de Santhiaba, à Ziguinchor, ce jeudi 12 juin. Un jeune garçon de 13 ans a été mortellement poignardé lors d’une altercation avec un autre mineur, selon des sources locales.

Ce nouveau drame soulève de vives inquiétudes quant à la sécurité des mineurs dans certains quartiers sensibles de Ziguinchor, où la violence juvénile semble s’intensifier.",https://www.senenews.com/actualites/ziguinchor-un-adolescent-de-13-ans-poignarde-a-mort-a-santhiaba_545507.html
